                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.3768,                 1.1964,                 1.6654,                0.83122,                0.63876,                0.72312,                0.43478,                 1.4609,                 1.0525,                 1.7822,              0.0030841,              0.0030841,              0.0030841
                     65,                 1.3713,                 1.1799,                 1.6638,                0.83985,                0.64552,                0.72773,                0.43461,                  1.464,                 1.0412,                 1.7827,              0.0029424,              0.0029424,              0.0029424
                     66,                 1.3645,                 1.1761,                 1.6628,                 0.8362,                0.64434,                0.72564,                0.43806,                 1.4558,                 1.0426,                 1.7797,              0.0028027,              0.0028027,              0.0028027
                     67,                 1.3618,                 1.1771,                  1.654,                0.82459,                0.65887,                0.72718,                0.43817,                 1.4554,                 1.0273,                 1.7763,              0.0026653,              0.0026653,              0.0026653
                     68,                 1.3405,                 1.1492,                   1.64,                0.83798,                0.65147,                0.72886,                0.43822,                 1.4506,                 1.0285,                 1.7746,              0.0025302,              0.0025302,              0.0025302
                     69,                  1.343,                 1.1471,                 1.6388,                 0.8407,                0.65901,                0.73396,                0.44169,                 1.4509,                  1.022,                 1.7697,              0.0023977,              0.0023977,              0.0023977
                     70,                  1.342,                 1.1502,                 1.6356,                0.83435,                0.65957,                0.73401,                 0.4431,                 1.4416,                 1.0154,                 1.7642,              0.0022677,              0.0022677,              0.0022677
                     71,                 1.3248,                  1.125,                 1.6242,                0.84315,                0.65919,                0.73651,                0.44442,                 1.4438,                 1.0096,                 1.7639,              0.0021405,              0.0021405,              0.0021405
                     72,                 1.3235,                 1.1322,                 1.6289,                0.84907,                0.65669,                0.73698,                 0.4461,                 1.4437,                 1.0065,                 1.7619,              0.0020161,              0.0020161,              0.0020161
                     73,                 1.3315,                 1.1301,                 1.6285,                0.85593,                0.65303,                 0.7386,                0.44818,                 1.4391,                  1.001,                 1.7618,              0.0018948,              0.0018948,              0.0018948
                     74,                 1.3231,                 1.1266,                  1.619,                0.85247,                0.65373,                0.73644,                0.44754,                 1.4339,                 1.0012,                 1.7527,              0.0017765,              0.0017765,              0.0017765
                     75,                 1.3227,                 1.1213,                 1.6198,                0.84825,                0.65752,                 0.7393,                0.44879,                 1.4366,                 1.0002,                 1.7582,              0.0016615,              0.0016615,              0.0016615
                     76,                  1.307,                 1.1076,                 1.6021,                0.84385,                0.66325,                0.73909,                0.44865,                 1.4381,                0.99251,                 1.7565,              0.0015498,              0.0015498,              0.0015498
                     77,                 1.3053,                 1.0925,                 1.6084,                0.84469,                0.65884,                0.73752,                0.44985,                 1.4347,                  0.992,                 1.7538,              0.0014416,              0.0014416,              0.0014416
                     78,                 1.3064,                 1.0887,                 1.6039,                0.84663,                0.66345,                0.74248,                0.45181,                 1.4391,                0.99254,                 1.7549,               0.001337,               0.001337,               0.001337
                     79,                 1.3008,                 1.0872,                 1.5951,                0.86212,                0.65254,                0.74174,                0.45262,                 1.4332,                0.99113,                 1.7501,               0.001236,               0.001236,               0.001236
