                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.7232,                 1.4605,                 1.6378,                0.56279,                0.46367,                 0.4806,                0.23617,                 1.7268,                 1.2976,                  1.642,              2.278e-05,              2.278e-05,              2.278e-05
                     80,                 1.7091,                 1.4348,                 1.6336,                0.55936,                0.46309,                 0.4796,                0.23752,                  1.716,                 1.2885,                 1.6372,              2.179e-05,              2.179e-05,              2.179e-05
                     81,                  1.723,                 1.4508,                 1.6421,                0.56437,                0.46504,                0.48189,                0.24025,                 1.7094,                 1.2826,                 1.6365,               2.08e-05,               2.08e-05,               2.08e-05
                     82,                 1.7146,                 1.4539,                 1.6366,                0.56127,                0.46765,                0.48136,                0.24003,                 1.7123,                 1.2875,                 1.6342,              1.981e-05,              1.981e-05,              1.981e-05
                     83,                 1.7142,                  1.443,                 1.6327,                0.56733,                0.46826,                 0.4853,                0.24151,                 1.7087,                 1.2795,                 1.6345,              1.882e-05,              1.882e-05,              1.882e-05
                     84,                 1.7081,                  1.443,                 1.6405,                0.57314,                0.46826,                0.48495,                0.24274,                 1.7046,                 1.2748,                 1.6348,              1.783e-05,              1.783e-05,              1.783e-05
                     85,                 1.7014,                 1.4402,                 1.6321,                0.57514,                0.47002,                 0.4858,                0.24352,                 1.7055,                 1.2718,                 1.6336,              1.684e-05,              1.684e-05,              1.684e-05
                     86,                 1.7055,                 1.4347,                 1.6347,                 0.5696,                 0.4654,                 0.4831,                0.24271,                 1.7012,                 1.2736,                 1.6318,              1.585e-05,              1.585e-05,              1.585e-05
                     87,                 1.7108,                 1.4421,                  1.636,                0.56856,                0.46306,                0.48273,                0.24116,                 1.7042,                 1.2776,                 1.6322,              1.486e-05,              1.486e-05,              1.486e-05
                     88,                 1.7071,                 1.4368,                 1.6296,                 0.5668,                0.46628,                0.48507,                0.24286,                 1.6995,                 1.2724,                 1.6303,              1.387e-05,              1.387e-05,              1.387e-05
                     89,                 1.7059,                 1.4352,                  1.634,                0.56708,                0.46894,                0.48432,                0.24312,                 1.6991,                  1.271,                 1.6308,              1.288e-05,              1.288e-05,              1.288e-05
                     90,                 1.7186,                 1.4357,                 1.6328,                0.57321,                0.46727,                0.48676,                0.24392,                 1.6978,                 1.2662,                 1.6288,              1.189e-05,              1.189e-05,              1.189e-05
                     91,                 1.7043,                 1.4216,                 1.6805,                0.56626,                0.47708,                0.48861,                0.24614,                 1.6924,                  1.269,                 1.6308,               1.09e-05,               1.09e-05,               1.09e-05
                     92,                 1.6937,                 1.3849,                 1.6854,                 0.5698,                0.47823,                0.48876,                0.24759,                 1.6863,                 1.2676,                 1.6313,               9.91e-06,               9.91e-06,               9.91e-06
                     93,                 1.6809,                 1.3661,                 1.6705,                0.57548,                0.47694,                0.49049,                0.24885,                 1.6805,                 1.2651,                 1.6312,               8.92e-06,               8.92e-06,               8.92e-06
                     94,                 1.6718,                 1.3591,                 1.6635,                  0.575,                0.47956,                0.49125,                0.24984,                 1.6771,                 1.2617,                 1.6306,               7.93e-06,               7.93e-06,               7.93e-06
                     95,                 1.6728,                 1.3536,                 1.6626,                0.57855,                0.48081,                0.49352,                0.25081,                 1.6742,                 1.2573,                  1.629,               6.94e-06,               6.94e-06,               6.94e-06
                     96,                 1.6691,                 1.3447,                 1.6614,                0.57559,                0.48056,                  0.493,                0.25183,                 1.6725,                  1.254,                 1.6274,               5.95e-06,               5.95e-06,               5.95e-06
                     97,                 1.6712,                 1.3502,                  1.658,                0.57529,                0.48131,                0.49279,                0.25173,                 1.6712,                 1.2519,                 1.6259,               4.96e-06,               4.96e-06,               4.96e-06
                     98,                 1.6587,                 1.3379,                 1.6516,                0.57724,                0.48213,                0.49454,                0.25263,                 1.6691,                 1.2496,                 1.6236,               3.97e-06,               3.97e-06,               3.97e-06
                     99,                 1.6571,                 1.3404,                 1.6531,                0.58188,                0.48155,                0.49544,                0.25351,                 1.6685,                  1.248,                 1.6226,               2.98e-06,               2.98e-06,               2.98e-06
                    100,                 1.6624,                   1.34,                 1.6564,                0.58555,                0.48165,                0.49764,                0.25482,                  1.667,                 1.2477,                 1.6212,               1.99e-06,               1.99e-06,               1.99e-06
